Closest Permutation: 10000000100101010101010101, Ratio to starting value: 0.9010162977241669, n=26
Closest Permutation: 10100, Ratio to starting value: 1.125000000625, n=5
Closest Permutation: 10010, Ratio to starting value: 1.125000000875, n=5
Closest Permutation: 01010, Ratio to starting value: 1.12500000125, n=5
Closest Permutation: 10001, Ratio to starting value: 1.125000001375, n=5
Closest Permutation: 01001, Ratio to starting value: 1.12500000175, n=5
Closest Permutation: 00101, Ratio to starting value: 1.1250000025, n=5
Closest Permutation: 00010101, Ratio to starting value: 0.84375000475, n=8
Closest Permutation: 00100101, Ratio to starting value: 0.843750003625, n=8
Closest Permutation: 01000101, Ratio to starting value: 0.8437500030625, n=8
Closest Permutation: 00101001, Ratio to starting value: 0.843750002875, n=8
Closest Permutation: 10000101, Ratio to starting value: 0.84375000278125, n=8
Closest Permutation: 00101010, Ratio to starting value: 0.843750002375, n=8
Closest Permutation: 01001001, Ratio to starting value: 0.8437500023125, n=8
Closest Permutation: 10001001, Ratio to starting value: 0.84375000203125, n=8
Closest Permutation: 01010001, Ratio to starting value: 0.8437500019375, n=8
Closest Permutation: 01001010, Ratio to starting value: 0.8437500018125, n=8
Closest Permutation: 10010001, Ratio to starting value: 0.84375000165625, n=8
Closest Permutation: 10001010, Ratio to starting value: 0.84375000153125, n=8
Closest Permutation: 10100001, Ratio to starting value: 0.84375000146875, n=8
Closest Permutation: 01010010, Ratio to starting value: 0.8437500014375, n=8
